-2.210156, -4.689371, -124.41943, 8.690227 wu away
-34.75094, -4.837434, -129.15881, 4.9253006 wu away.
-55.45572, -4.732506, -106.45353, 15.108945 wu away.
-61.310696, -4.723071, -98.541626, 13.129088 wu away.
-54.676155, -4.790618, -55.99601, 10.411163 wu away.
-54.347103, -4.7688103, -50.17894, 3.7635849 wu away.
-57.51989, -4.8038154, -40.108986, 7.3456836 wu away.
-56.487907, -4.7734604, 50.63218, 6.9702053 wu away.
-55.216526, -4.7363973, 60.16541, 7.3078723 wu away.
-58.29425, -4.744771, 72.45597, 8.74566 wu away.
-62.55123, -4.682911, 107.98529, 9.132193 wu away.
-47.276882, -4.7174644, 123.67411, 9.160466 wu away.
-34.230537, -4.7326107, 131.45412, 7.8762784 wu away.
-7.048112, -4.7325034, 130.9016, 8.784466 wu away.
10.771547, -4.7325034, 112.79748, 11.591913 wu away.
17.823536, -4.6887903, 98.784935, 15.457247 wu away.
11.668057, -4.6869307, -41.461403, 11.514576 wu away.
18.433916, -4.6869307, -52.415264, 8.76962 wu away.
23.948107, -4.5506854, -75.124115, 9.93606 wu away.
23.431145, -4.7174683, -102.84186, 13.076736 wu away.
10.954583, -4.7174683, -119.097786, 13.2053585 wu away.
-0.7008114, -4.689371, -127.85893, 4.3571973 wu away.
